"","x"
"734",-0.10114604
"735",-0.092786214
"736",0.042343328
"737",0.052934776
"738",0.036910354
"739",0.037563102
"740",-0.035299527
"741",-0.022410241
"742",0.121030532
"743",0.024988601
"744",-0.03489751
"745",-0.248461359
"746",0.070316498
"747",-0.256824084
"748",-0.076700908
"749",0.107681738
"750",0.01400985
"751",-0.080171119
"752",0.013047715
"753",0.032155751
"754",-0.001521522
"755",-0.020973123
"756",0.003057747
"757",-0.007042167
"758",0.095556516
"759",0.009926936
"760",0.027683429
"761",0.096849826
"762",0.0790264
"763",-0.682565071
"764",0.005432687
"765",0.046026012
"766",0.025856107
"767",0.046355082
"768",0.030894059
"769",-0.439016642
"770",0.026065159
"771",0.116813009
"772",0.203548769
"773",0.01348335
"774",-0.099462148
"775",-0.009804
"776",0.009569451
"777",0.023641763
"778",-0.023535011
"779",0.063703126
"780",0.011834458
"781",-0.00637437
"782",-0.031938142
"783",0.040306948
"784",-0.004089985
"785",-0.035641691
"786",-0.016063843
"787",0.020378801
"788",-0.019505495
"789",-0.077359825
"790",0.031500247
"791",0.223143551
"792",-0.036848382
"793",0.132059722
"794",0.06228663
"795",-0.037204815
"796",0.033819648
"797",0.10426101
"798",-0.510825624
"799",0.074637805
"800",0.008184691
"801",0.012969353
"802",-0.128541086
"803",0.042430607
"804",0.052185753
"805",-0.012183023
"806",0.047180954
"807",-0.006625675
"808",-0.002108727
"809",-0.017068126
"810",0.091522767
"811",0.064652827
"812",0.009834679
"813",-0.029672271
"814",-0.217847611
"815",-0.015976322
"816",-0.075009821
"817",-0.006745388
"818",0.017926901
"819",0.040178701
"820",0.034115753
"821",-0.279734734
"822",-0.085506117
"823",-0.105469919
"824",0.025975486
"825",0.04807641
"826",-0.025809491
"827",-0.018626057
"828",0.001057162
"829",-0.009602867
"830",0.020740148
"831",-0.071875416
"832",0.029553583
"833",0.00298211
"834",-0.078963701
"835",0.037301622
"836",-0.024880694
"837",0.024362465
"838",0.025122094
"839",-0.058382336
"840",-0.010920545
"841",0.062303883
"842",0.091362225
"843",0.041949151
"844",0.128401715
"845",-0.026048053
"846",0.018100042
"847",-0.005770764
"848",0.002453989
"849",0.007752348
"850",-0.048852086
"851",-0.068669287
"852",0.017187893
"853",-0.057331252
"854",0.068250658
"855",0.041032599
"856",0.054674209
"857",0.329181803
"858",-0.058773112
"859",-0.083586716
"860",0.01135086
"861",0.018219064
"862",0.040202719
"863",-0.064291129
"864",-0.189132026
"865",-0.031592874
"866",0.147598587
"867",0.020511605
"868",0.059928064
"869",0.018186559
"870",-0.14172816
"871",-0.12740028
"872",0.092133548
"873",0.120323949
"874",-0.041516198
"875",-0.017166516
"876",0.142078099
